,out-degree-weight,in-degree-weight,out-degree,in-degree,bot,bc,lcc,ac
147.32.84.164,16,0.0,4,0.0,0,0.0,0,0.006527415143603133
147.32.84.186,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
147.32.86.186,18,0.0,1,0.0,0,0.0,0,0.35714285714285715
38.107.110.11,0,18.0,0,1.0,0,0.0,0,0.0012484315024391796
147.32.85.87,12,0.0,3,0.0,0,0.0,0,0.006527415143603133
188.138.84.239,0,395.0,0,5.0,0,0.0,0,0.018057669945995277
147.32.86.179,18,0.0,1,0.0,0,0.0,0,0.35714285714285715
90.183.101.160,0,18.0,0,1.0,0,0.0,0,0.0012484315024391796
147.32.85.34,76,0.0,19,0.0,1,0.0,0,0.00652741514360316
147.32.86.50,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
147.32.84.19,8,0.0,2,0.0,0,0.0,0,0.006527415143603133
76.13.114.90,0,126.0,0,7.0,0,0.0,0,0.006063810154704588
147.32.84.134,16,0.0,4,0.0,0,0.0,0,0.006527415143603133
77.78.99.23,0,17.0,0,1.0,0,0.0,0,0.0012038446630663522
69.63.189.34,0,61.0,0,1.0,0,0.0,0,0.003165665595470777
147.32.84.13,43,0.0,1,0.0,0,0.0,0,0.0892857142857143
147.32.80.13,0,59.0,0,3.0,0,0.0,0,0.004993726009756718
147.32.86.194,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
147.32.84.170,20,0.0,1,0.0,0,0.0,0,0.012804097311139564
78.138.112.61,0,60.0,0,3.0,0,0.0,0,0.0031210787560979492
147.32.84.216,12,0.0,3,0.0,0,0.0,0,0.006527415143603133
147.32.85.8,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
87.98.230.229,0,156.0,0,2.0,0,0.0,0,0.007401415335889423
147.32.84.171,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
68.233.5.80,0,20.0,0,1.0,0,0.0,0,0.0013376051811848355
69.59.128.228,0,20.0,0,1.0,0,0.0,0,0.0013376051811848353
147.32.86.111,4,0.0,1,0.0,0,0.0,0,0.006527415143603133
217.31.58.184,0,20.0,0,1.0,0,0.0,0,0.0013376051811848353
147.32.86.155,6,0.0,1,0.0,0,0.0,0,0.006527415143603133
147.32.85.76,77,0.0,1,0.0,0,0.0,0,0.1149425287356322
74.52.16.50,0,77.0,0,1.0,0,0.0,0,0.0038790550254360224
